satellite,mean_error,median_error,p95_error,max_error,anomaly_count,sgp4_mean_km,sgp4_median_km,sgp4_p95_km,sgp4_max_km,sgp4_std_km,behavior_class
AFR-1,2.771507978439331,2.781510829925537,3.248819136619568,6.288805961608887,6.0,0.1289510863512911,0.0655021735725386,0.3864787763787355,7.301151171743908,0.2941541254318374,MODERATELY_ACTIVE
ASTROSAT,2.858448505401612,3.0092740058898926,3.990715861320496,6.998542785644531,2.0,0.7273564975508433,0.1766377497149836,1.613034458797061,812.5173241375469,11.748507656216432,MODERATELY_ACTIVE
CARTOSAT 3,1.1406618356704712,1.0284717082977295,2.006612420082092,3.8412702083587646,31.0,10.420722263305745,0.1088366333306146,1.132370568315979,43997.16338153503,637.9734829482509,UNSTABLE
CARTOSAT-2A,2.537681579589844,2.3845458030700684,5.24627685546875,7.167852878570557,105.0,0.4292752807719772,0.1290536037385591,1.2044463943524384,79.45453212024965,1.8204626532675128,UNSTABLE
Cartosat-2B,2.221630334854126,2.28606915473938,3.2297154188156125,4.181809902191162,3.0,0.5714944974757715,0.0995569232382711,1.6939418950172935,128.7241944297748,2.744480157783712,MODERATELY_ACTIVE
Cartosat-2C,2.0950241088867188,2.012316942214966,3.341356182098388,11.252900123596191,20.0,0.8820455726314558,0.1357705813844912,1.932526029151748,125.54914352674358,4.7448541230975785,MODERATELY_ACTIVE
Cartosat-2F,1.875354528427124,1.844262719154358,2.7253887772560126,3.9647135734558105,7.0,0.9139547685001432,0.1088517614906125,1.6824428035329972,224.17877335896125,5.640552190964558,MODERATELY_ACTIVE
EMISAT,2.089926719665528,2.023411750793457,2.902141416072845,13.587389945983888,22.0,0.1603609752831268,0.0302758557758068,0.2760456144412963,83.37900369923129,1.523862570824309,MODERATELY_ACTIVE
EOS 08,1.7494901418685913,1.5569679737091064,3.381284868717194,6.205109119415283,4.0,5.446480085807392,0.2323855537184616,35.22368598253535,353.69596793874126,21.876086810764967,MODERATELY_ACTIVE
EOS-4,0.985557734966278,0.9649786949157716,1.487027096748352,2.722277402877808,6.0,0.9233506428640031,0.1086683661806925,4.063881966321151,187.48827531372223,4.047522754498251,MODERATELY_ACTIVE
EOS-6,2.0838234424591064,2.1384615898132324,3.080984044075012,3.5544586181640625,0.0,0.430384049189727,0.042617128500797,0.6222835239887097,393.942373085592,6.214043715905627,MODERATELY_ACTIVE
GSAT-11,1.2058627605438232,1.0694947242736816,2.102789640426636,9.496586799621582,12.0,25.512654967276177,0.2569372549637846,4.853900838046741,62029.69388686904,1022.5408360405894,MODERATELY_ACTIVE
GSAT-12,1.86420488357544,1.8836640119552608,2.499462723731994,2.783997297286988,0.0,20.47279841360022,0.3003878688791077,11.889507491274577,69387.05853284847,1022.6139731146328,STABLE
GSAT-14,1.1838716268539429,1.0950661897659302,2.5650360107421872,3.856055736541748,14.0,13.836877186911398,0.4746782616859656,13.147481450983255,50375.29887018848,615.526382575749,MODERATELY_ACTIVE
GSAT-15,1.1974585056304932,1.036625623703003,2.573494291305542,3.8266913890838623,25.0,14.887798468848432,0.4507417304925536,9.690600369582116,53973.35550946938,707.3693180020383,MODERATELY_ACTIVE
GSAT-16,1.4860072135925293,1.5170366764068604,2.650911736488341,4.384368896484375,7.0,13.393396447994393,0.4481078475294621,11.261565270624628,49066.74095788723,670.3348572021205,MODERATELY_ACTIVE
GSAT-18,1.3248907327651978,1.2235485315322876,2.788200855255127,4.337018489837647,11.0,20.00794843769852,0.358299027854944,9.188546039623173,59096.25319984742,885.381804150124,MODERATELY_ACTIVE
GSAT-20,1.159883975982666,1.105948805809021,2.2593450784683227,3.3457539081573486,3.0,80.84363274274317,0.2681112027004151,6.589290025215472,80252.1458829753,2515.226150756306,STABLE
GSAT-24,1.5369257926940918,1.3996951580047607,3.193815982341765,5.064961910247803,4.0,41.5334734940268,0.3014574634916259,9.628329917904178,37494.7239159825,1082.847546970122,MODERATELY_ACTIVE
GSAT-29,1.2087719440460205,1.143535614013672,2.5591796636581416,3.830913782119751,19.0,19.188468142706764,0.3377844778563936,6.991995019111571,76120.65554273751,1019.838192005364,MODERATELY_ACTIVE
GSAT-30,1.240736722946167,1.1018893718719482,2.720767939090728,3.865780830383301,5.0,40.95850994575853,0.345602302256911,8.657838844131257,77171.94154243976,1370.827935056447,STABLE
GSAT-31,1.1448856592178345,1.0210981369018557,2.490377128124237,4.033821105957031,8.0,26.30547741229476,0.3974076023728246,9.674469558074229,77295.73934030463,1160.7459691876406,MODERATELY_ACTIVE
GSAT-6,2.1443305015563965,1.971829414367676,3.6535274982452393,4.145698070526123,0.0,8.508390920828159,0.2794490603040539,7.755371168136544,52242.55931071546,573.2842104827328,MODERATELY_ACTIVE
GSAT-6A,1.7457398176193235,1.7708919048309326,2.382772505283356,2.6558454036712646,0.0,4.058723045199369,0.2430430280520847,0.9210927617191592,12930.217653860756,203.78975028398315,STABLE
GSAT-7,1.08994722366333,1.0271917581558228,1.8272801637649536,3.388216972351074,25.0,13.676400760739435,0.3717361617520348,11.3174428224827,58683.11168202679,732.1186637796878,MODERATELY_ACTIVE
GSAT-7A,1.1426714658737185,1.0042788982391355,2.1543057799339285,3.665598392486572,17.0,21.22382534464362,0.2891430375403063,5.299611253518992,74557.70844936208,1059.7325443801428,MODERATELY_ACTIVE
GSAT-8,2.347244501113892,2.1861917972564697,4.1232928276062015,4.441497802734375,0.0,20.770923712565946,0.6599292387164344,18.199328700739898,64205.627624522174,862.1744880094924,MODERATELY_ACTIVE
